id,nbRooms,surface,nbFenetre,price,annee,balcon,garage,note,price_category,ville
27,4,85,6,275000,2010,False,True,4,normal,Paris
60,2,48,3,160000,2014,False,False,5,low,Paris
61,5,115,10,335000,2008,False,False,5,high,Marseille
95,2,50,3,150000,2022,False,True,3,low,Paris
31,5,120,11,355000,2016,True,False,1,high,Marseille
96,5,105,9,340000,2006,False,False,1,high,Paris
45,2,50,3,155000,2014,True,False,3,low,Marseille
22,4,90,7,290000,2008,True,False,3,normal,Marseille
67,4,90,6,285000,2018,False,False,3,normal,Paris
39,6,130,12,415000,2020,False,True,4,high,Paris
31,5,120,11,355000,2019,False,False,1,high,Paris
83,3,55,4,165000,2012,False,True,4,low,Lyon
88,3,55,4,175000,2018,False,True,3,low,Lyon
97,4,80,6,265000,2012,False,False,1,normal,Lyon
24,6,140,14,430000,2020,False,True,4,high,Marseille
72,4,95,7,295000,2017,False,True,4,normal,Paris
31,5,120,11,355000,2022,True,True,3,high,Marseille
33,3,55,4,180000,2019,False,False,1,low,Lyon
70,2,45,2,145000,2017,False,False,3,low,Paris
44,6,140,13,435000,2013,True,True,1,high,Marseille
16,5,115,10,340000,2019,False,False,5,high,Paris
38,3,60,4,175000,2017,True,False,2,low,Marseille
6,4,95,7,300000,2005,True,False,2,normal,Paris
86,5,110,9,330000,2011,False,False,2,high,Lyon
16,5,115,10,340000,2013,True,True,3,high,Lyon
56,5,105,9,325000,2005,True,True,5,high,Paris
77,4,85,6,280000,2016,True,False,1,normal,Marseille
85,2,50,3,160000,2012,True,False,4,low,Lyon
60,2,48,3,160000,2015,False,True,1,low,Lyon
38,3,60,4,175000,2023,True,True,4,low,Lyon
22,4,90,7,290000,2021,False,False,1,normal,Paris
53,3,60,4,170000,2012,True,True,5,low,Paris
48,3,55,4,165000,2007,True,False,4,low,Marseille
57,4,80,6,270000,2007,True,False,3,normal,Marseille
85,2,50,3,160000,2005,True,True,1,low,Marseille
75,2,50,3,155000,2009,False,True,1,low,Paris
83,3,55,4,165000,2014,False,False,4,low,Paris
11,5,125,11,370000,2011,True,False,3,high,Marseille
100,2,48,3,150000,2013,True,True,3,low,Marseille
100,2,48,3,150000,2011,False,False,5,low,Paris
76,5,105,9,340000,2013,True,True,3,high,Marseille
90,2,45,2,140000,2012,True,False,3,low,Lyon
58,3,60,4,180000,2016,True,True,3,low,Paris
87,4,90,6,290000,2006,False,True,2,normal,Marseille
58,3,60,4,180000,2005,False,True,5,low,Paris
63,3,55,4,170000,2020,False,False,1,low,Lyon
91,5,120,11,355000,2009,True,False,4,high,Paris
68,3,55,4,165000,2007,True,True,1,low,Paris
32,4,95,7,295000,2016,False,False,5,normal,Paris
29,6,150,13,440000,2012,False,True,4,high,Paris
55,2,50,3,150000,2007,False,True,5,low,Lyon
9,4,85,6,260000,2005,False,False,3,normal,Paris
47,4,90,6,280000,2007,True,False,4,normal,Paris
21,5,105,9,330000,2009,False,True,3,high,Marseille
41,5,115,10,335000,2019,True,False,1,high,Paris
67,4,90,6,285000,2018,False,False,1,normal,Marseille
98,3,60,4,170000,2007,True,True,4,low,Lyon
88,3,55,4,175000,2005,False,True,4,low,Lyon
1,4,80,6,270000,2009,False,False,5,normal,Lyon
16,5,115,10,340000,2018,False,True,5,high,Lyon
14,6,140,13,420000,2011,False,True,3,high,Marseille
42,4,85,7,285000,2013,True,False,4,normal,Paris
77,4,85,6,280000,2019,False,True,1,normal,Lyon
70,2,45,2,145000,2019,True,True,5,low,Paris
65,2,50,3,150000,2014,True,False,5,low,Marseille
98,3,60,4,170000,2017,True,False,1,low,Marseille
64,6,140,13,430000,2023,True,True,5,high,Marseille
92,4,95,8,295000,2011,False,True,3,normal,Lyon
91,5,120,11,355000,2021,True,False,4,high,Paris
56,5,105,9,325000,2024,True,False,1,high,Paris
79,6,130,12,420000,2008,True,False,4,high,Paris
52,4,95,8,290000,2009,False,False,5,normal,Marseille
9,4,85,6,260000,2011,False,True,5,normal,Lyon
76,5,105,9,340000,2017,False,False,1,high,Marseille
35,2,45,2,140000,2019,False,False,3,low,Marseille
6,4,95,7,300000,2015,True,True,2,normal,Paris
5,6,150,12,400000,2008,True,False,1,high,Marseille
86,5,110,9,330000,2017,False,True,2,high,Paris
12,4,90,8,310000,2011,True,False,2,high,Lyon
26,5,110,10,345000,2023,True,False,3,high,Paris
81,100,100,100,1000000,2024-09-11T22:00:00.000Z,true,false,4,normal,Lyon
